timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.4200,BUY,8300,0.4200,0.43
,book,0.43,SELL,381255,0.4200,0.43
2026-01-03T20:14:19.91432Z,price_change,0.43000000000000005,SELL,491,0.42,0.43
2026-01-03T20:14:20.015093Z,price_change,0.41,BUY,-246,0.42,0.43
2026-01-03T20:15:55.10865Z,price_change,0.44999999999999996,SELL,-460,0.42,0.43
2026-01-03T20:15:55.287793Z,price_change,0.44999999999999996,SELL,460,0.42,0.43
2026-01-03T20:16:35.431721Z,price_change,0.43999999999999995,SELL,-5,0.42,0.43
2026-01-03T20:16:48.485743Z,price_change,0.43999999999999995,SELL,5,0.42,0.43
2026-01-03T20:17:01.527238Z,price_change,0.43999999999999995,SELL,-5,0.42,0.43
2026-01-03T20:17:02.462524Z,price_change,0.43000000000000005,SELL,25,0.42,0.43
2026-01-03T20:17:02.520962Z,price_change,0.41,BUY,-12,0.42,0.43
2026-01-03T20:17:02.589096Z,price_change,0.39,BUY,500,0.42,0.43
2026-01-03T20:17:20.054773Z,price_change,0.43000000000000005,SELL,-1,0.42,0.43
,book,0.4200,BUY,8300,0.4200,0.43
,book,0.43,SELL,381770,0.4200,0.43
2026-01-03T20:17:36.000046Z,price_change,0.39,BUY,-500,0.42,0.43
2026-01-03T20:17:38.928285Z,price_change,0.43999999999999995,SELL,-143,0.42,0.43
2026-01-03T20:17:39.019525Z,price_change,0.43999999999999995,SELL,-29,0.42,0.43
2026-01-03T20:17:49.590115Z,price_change,0.43999999999999995,SELL,5,0.42,0.43
2026-01-03T20:17:59.214888Z,price_change,0.43000000000000005,SELL,-25,0.42,0.43
2026-01-03T20:17:59.278487Z,price_change,0.43000000000000005,SELL,-25,0.42,0.43
2026-01-03T20:17:59.335689Z,price_change,0.41,BUY,25,0.42,0.43
2026-01-03T20:18:01.697465Z,price_change,0.39,BUY,500,0.42,0.43
2026-01-03T20:18:06.135352Z,price_change,0.43999999999999995,SELL,-5,0.42,0.43
2026-01-03T20:18:15.224099Z,price_change,0.43999999999999995,SELL,5,0.42,0.43
2026-01-03T20:18:32.31294Z,price_change,0.43999999999999995,SELL,-5,0.42,0.43
2026-01-03T20:18:41.39387Z,price_change,0.43999999999999995,SELL,5,0.42,0.43
2026-01-03T20:18:49.071003Z,price_change,0.43000000000000005,SELL,-22,0.42,0.43
2026-01-03T20:18:58.292477Z,price_change,0.43999999999999995,SELL,-5,0.42,0.43
2026-01-03T20:18:59.560271Z,price_change,0.43000000000000005,SELL,-10,0.42,0.43
2026-01-03T20:18:59.704446Z,price_change,0.43000000000000005,SELL,10,0.42,0.43
2026-01-03T20:19:01.09263Z,price_change,0.43000000000000005,SELL,-21,0.42,0.43
2026-01-03T20:19:06.336212Z,price_change,0.43000000000000005,SELL,-2,0.42,0.43
2026-01-03T20:19:07.206055Z,price_change,0.43999999999999995,SELL,5,0.42,0.43
